Planet,Longitude,Nakshatra,Padam,Nakshatra Lord,Full Degree,Latitude/Shara,Speed(deg/day),RightAscension,Declination/Kranti,DateTime
Yam ,26°Tula01′ 16″, Vishakha,2,Guru,206.02,14°N58′ 47″,0.03,-128.68,-3.22,1991-01-01 17:30:00
Rahu ,05°Maka21′ 35″, U Ashadha,3,Surya,275.36,00°N00′ 00″,-0.05,301.24,-20.34,1991-01-01 17:30:00
Ketu ,05°Kark21′ 35″, Pushya,1,Shani,95.36,00°N00′ 00″,-0.05,121.24,20.34,1991-01-01 17:30:00
Spashth Rahu ,04°Maka17′ 41″, U Ashadha,3,Surya,274.29,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 17:30:00
Spashth Ketu ,04°Kark17′ 41″, Pushya,1,Shani,94.29,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 17:30:00
Lagna ,07°Mesh49′ 48″, Ashwini,3,Ketu,7.83,00°N00′ 00″,718.17,29.41,12.02,1991-01-01 13:30:00
Surya ,16°Dhan45′ 46″, P Ashadha,2,Shukra,256.76,00°S00′ 00″,1.02,281.42,-23.03,1991-01-01 13:30:00
Chandra ,26°Mitu04′ 39″, Punarvasu,2,Guru,86.08,00°N45′ 19″,15.0,111.56,22.73,1991-01-01 13:30:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 31″,-0.001,54.92,21.94,1991-01-01 13:30:00
Budha ,00°Dhan23′ 34″, Mula,1,Ketu,240.39,03°N08′ 03″,-0.38,263.76,-20.18,1991-01-01 13:30:00
Guru ,18°Kark12′ 06″, Ashlesha,1,Budha,108.2,00°N40′ 58″,-0.1,134.6,17.87,1991-01-01 13:30:00
Shukra ,01°Maka31′ 56″, U Ashadha,2,Surya,271.53,01°S17′ 40″,1.25,297.48,-22.36,1991-01-01 13:30:00
Shani ,01°Maka58′ 31″, U Ashadha,2,Surya,271.98,00°S08′ 36″,0.12,297.72,-21.14,1991-01-01 13:30:00
Arun ,16°Dhan01′ 05″, P Ashadha,1,Shukra,256.02,00°S19′ 08″,0.06,280.64,-23.4,1991-01-01 13:30:00
Varun ,20°Dhan23′ 43″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 13:30:00
Yam ,26°Tula00′ 58″, Vishakha,2,Guru,206.02,14°N58′ 44″,0.03,-128.69,-3.22,1991-01-01 13:30:00
Rahu ,05°Maka22′ 07″, U Ashadha,3,Surya,275.37,00°N00′ 00″,-0.05,301.25,-20.34,1991-01-01 13:30:00
Ketu ,05°Kark22′ 07″, Pushya,1,Shani,95.37,00°N00′ 00″,-0.05,121.25,20.34,1991-01-01 13:30:00
Spashth Rahu ,04°Maka17′ 45″, U Ashadha,3,Surya,274.3,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 13:30:00
Spashth Ketu ,04°Kark17′ 45″, Pushya,1,Shani,94.3,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 13:30:00
Lagna ,22°Vibh36′ 16″, Rohini,4,Chandra,52.6,00°N00′ 00″,396.74,75.17,22.74,1991-01-01 15:30:00
Surya ,16°Dhan50′ 52″, P Ashadha,2,Shukra,256.85,00°S00′ 00″,1.02,281.51,-23.02,1991-01-01 15:30:00
Chandra ,27°Mitu19′ 35″, Punarvasu,3,Guru,87.33,00°N38′ 29″,14.98,112.88,22.43,1991-01-01 15:30:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 34″,0.0,54.92,21.94,1991-01-01 15:30:00
Budha ,00°Dhan21′ 43″, Mula,1,Ketu,240.36,03°N07′ 52″,-0.36,263.72,-20.18,1991-01-01 15:30:00
Guru ,18°Kark11′ 37″, Ashlesha,1,Budha,108.19,00°N40′ 59″,-0.1,134.59,17.87,1991-01-01 15:30:00
Shukra ,01°Maka38′ 12″, U Ashadha,2,Surya,271.64,01°S17′ 47″,1.25,297.59,-22.34,1991-01-01 15:30:00
Shani ,01°Maka59′ 06″, U Ashadha,2,Surya,271.99,00°S08′ 36″,0.12,297.73,-21.14,1991-01-01 15:30:00
Lagna ,17°Kumb40′ 32″, Shatabhisha,4,Rahu,317.68,00°N00′ 00″,792.34,342.85,-7.28,1991-01-01 12:00:00
Surya ,16°Dhan41′ 57″, P Ashadha,2,Shukra,256.7,00°S00′ 00″,1.02,281.35,-23.03,1991-01-01 12:00:00
Arun ,16°Dhan01′ 23″, P Ashadha,1,Shukra,256.02,00°S19′ 09″,0.06,280.65,-23.4,1991-01-01 15:30:00
Varun ,20°Dhan23′ 55″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 15:30:00
Yam ,26°Tula01′ 07″, Vishakha,2,Guru,206.02,14°N58′ 46″,0.03,-128.69,-3.22,1991-01-01 15:30:00
Rahu ,05°Maka21′ 51″, U Ashadha,3,Surya,275.36,00°N00′ 00″,-0.05,301.25,-20.34,1991-01-01 15:30:00
Ketu ,05°Kark21′ 51″, Pushya,1,Shani,95.36,00°N00′ 00″,-0.05,121.25,20.34,1991-01-01 15:30:00
Spashth Rahu ,04°Maka17′ 42″, U Ashadha,3,Surya,274.3,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 15:30:00
Spashth Ketu ,04°Kark17′ 42″, Pushya,1,Shani,94.3,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 15:30:00
Chandra ,25°Mitu08′ 23″, Punarvasu,2,Guru,85.14,00°N50′ 27″,15.01,110.57,22.94,1991-01-01 12:00:00
Mangal ,04°Vibh00′ 54″, Krittika,3,Surya,34.02,02°N20′ 30″,-0.002,54.92,21.94,1991-01-01 12:00:00
Budha ,00°Dhan25′ 00″, Mula,1,Ketu,240.42,03°N08′ 10″,-0.39,263.78,-20.18,1991-01-01 12:00:00
Guru ,18°Kark12′ 28″, Ashlesha,1,Budha,108.21,00°N40′ 58″,-0.1,134.61,17.87,1991-01-01 12:00:00
Shukra ,01°Maka27′ 14″, U Ashadha,2,Surya,271.45,01°S17′ 34″,1.25,297.4,-22.37,1991-01-01 12:00:00
Shani ,01°Maka58′ 05″, U Ashadha,2,Surya,271.97,00°S08′ 36″,0.12,297.71,-21.15,1991-01-01 12:00:00
Arun ,16°Dhan00′ 51″, P Ashadha,1,Shukra,256.01,00°S19′ 08″,0.06,280.64,-23.4,1991-01-01 12:00:00
Varun ,20°Dhan23′ 35″, P Ashadha,3,Shukra,260.39,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 12:00:00
